run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,3,E11,E5,E3,E4,-2.000000
20260613-000525,3,E11,E5,E6,E7,349.000000
20260613-000525,3,E11,E5,E7,E8,-9.000000
20260613-000525,3,E11,E5,E8,E9,-277.500000
20260613-000525,3,E11,E5,E9,E10,-346.500000
20260613-000525,3,E11,E5,E12,E1,26.000000
20260613-000525,3,E12,E6,E1,E2,32.000000
20260613-000525,3,E12,E6,E2,E3,10.000000
20260613-000525,3,E12,E6,E3,E4,-2.000000
20260613-000525,3,E12,E6,E4,E5,22.000000
20260613-000525,3,E12,E6,E7,E8,-6.000000
20260613-000525,3,E12,E6,E8,E9,-213.500000
20260613-000525,3,E12,E6,E9,E10,-268.000000
20260613-000525,3,E12,E6,E10,E11,221.500000
20260613-000525,4,E1,E7,E2,E3,11.500000
20260613-000525,4,E1,E7,E3,E4,-6.000000
20260613-000525,4,E1,E7,E4,E5,8.000000
20260613-000525,4,E1,E7,E5,E6,-40.000000
20260613-000525,4,E1,E7,E8,E9,-179.000000
20260613-000525,4,E1,E7,E9,E10,-232.500000
20260613-000525,4,E1,E7,E10,E11,226.500000
20260613-000525,4,E1,E7,E11,E12,216.500000
20260613-000525,4,E2,E8,E3,E4,-3.500000
20260613-000525,4,E2,E8,E4,E5,14.000000
20260613-000525,4,E2,E8,E5,E6,-46.000000
20260613-000525,4,E2,E8,E6,E7,278.500000
20260613-000525,4,E2,E8,E9,E10,-270.000000
20260613-000525,4,E2,E8,E10,E11,258.000000
20260613-000525,4,E2,E8,E11,E12,244.000000
20260613-000525,4,E2,E8,E12,E1,16.000000
20260613-000525,4,E3,E9,E1,E2,35.000000
20260613-000525,4,E3,E9,E4,E5,16.000000
20260613-000525,4,E3,E9,E5,E6,-50.000000
20260613-000525,4,E3,E9,E6,E7,306.500000
20260613-000525,4,E3,E9,E7,E8,-14.000000
20260613-000525,4,E3,E9,E10,E11,280.000000
20260613-000525,4,E3,E9,E11,E12,264.000000
20260613-000525,4,E3,E9,E12,E1,18.000000
20260613-000525,4,E4,E10,E1,E2,36.000000
20260613-000525,4,E4,E10,E2,E3,18.000000
20260613-000525,4,E4,E10,E5,E6,-54.000000
20260613-000525,4,E4,E10,E6,E7,306.000000
20260613-000525,4,E4,E10,E7,E8,-10.000000
20260613-000525,4,E4,E10,E8,E9,-245.000000
20260613-000525,4,E4,E10,E11,E12,262.000000
20260613-000525,4,E4,E10,E12,E1,19.000000
20260613-000525,4,E5,E11,E1,E2,36.000000
20260613-000525,4,E5,E11,E2,E3,16.000000
20260613-000525,4,E5,E11,E3,E4,-2.000000
20260613-000525,4,E5,E11,E6,E7,318.000000
20260613-000525,4,E5,E11,E7,E8,-10.000000
20260613-000525,4,E5,E11,E8,E9,-254.500000
20260613-000525,4,E5,E11,E9,E10,-312.000000
20260613-000525,4,E5,E11,E12,E1,20.000000
20260613-000525,4,E6,E12,E1,E2,36.000000
20260613-000525,4,E6,E12,E2,E3,16.000000
20260613-000525,4,E6,E12,E3,E4,-2.000000
20260613-000525,4,E6,E12,E4,E5,18.000000
20260613-000525,4,E6,E12,E7,E8,-10.000000
20260613-000525,4,E6,E12,E8,E9,-258.500000
20260613-000525,4,E6,E12,E9,E10,-319.500000
20260613-000525,4,E6,E12,E10,E11,287.000000
20260613-000525,4,E7,E1,E2,E3,8.000000
20260613-000525,4,E7,E1,E3,E4,-2.000000
20260613-000525,4,E7,E1,E4,E5,20.000000
20260613-000525,4,E7,E1,E5,E6,-60.000000
20260613-000525,4,E7,E1,E8,E9,-236.500000
20260613-000525,4,E7,E1,E9,E10,-256.500000
20260613-000525,4,E7,E1,E10,E11,260.500000
20260613-000525,4,E7,E1,E11,E12,236.500000
20260613-000525,4,E8,E2,E3,E4,-4.000000
20260613-000525,4,E8,E2,E4,E5,20.500000
20260613-000525,4,E8,E2,E5,E6,-62.000000
20260613-000525,4,E8,E2,E6,E7,372.000000
20260613-000525,4,E8,E2,E9,E10,-359.000000
20260613-000525,4,E8,E2,E10,E11,332.000000
20260613-000525,4,E8,E2,E11,E12,314.000000
20260613-000525,4,E8,E2,E12,E1,20.000000
20260613-000525,4,E9,E3,E1,E2,26.000000
20260613-000525,4,E9,E3,E4,E5,20.000000
20260613-000525,4,E9,E3,E5,E6,-63.000000
20260613-000525,4,E9,E3,E6,E7,380.000000
20260613-000525,4,E9,E3,E7,E8,-14.000000
20260613-000525,4,E9,E3,E10,E11,340.000000
20260613-000525,4,E9,E3,E11,E12,320.500000
20260613-000525,4,E9,E3,E12,E1,20.000000
20260613-000525,4,E10,E4,E1,E2,28.000000
20260613-000525,4,E10,E4,E2,E3,14.000000
20260613-000525,4,E10,E4,E5,E6,-64.000000
20260613-000525,4,E10,E4,E6,E7,332.500000
20260613-000525,4,E10,E4,E7,E8,-8.000000
20260613-000525,4,E10,E4,E8,E9,-268.000000
20260613-000525,4,E10,E4,E11,E12,286.000000
20260613-000525,4,E10,E4,E12,E1,22.000000
20260613-000525,4,E11,E5,E1,E2,30.000000
20260613-000525,4,E11,E5,E2,E3,14.000000
20260613-000525,4,E11,E5,E3,E4,-2.000000
20260613-000525,4,E11,E5,E6,E7,353.000000
20260613-000525,4,E11,E5,E7,E8,-8.000000
20260613-000525,4,E11,E5,E8,E9,-279.500000
20260613-000525,4,E11,E5,E9,E10,-349.000000
20260613-000525,4,E11,E5,E12,E1,28.000000
20260613-000525,4,E12,E6,E1,E2,32.500000
20260613-000525,4,E12,E6,E2,E3,8.500000
20260613-000525,4,E12,E6,E3,E4,-1.500000
20260613-000525,4,E12,E6,E4,E5,22.000000
20260613-000525,4,E12,E6,E7,E8,-6.500000
20260613-000525,4,E12,E6,E8,E9,-206.000000
20260613-000525,4,E12,E6,E9,E10,-256.500000
20260613-000525,4,E12,E6,E10,E11,257.500000
20260613-000525,5,E1,E7,E2,E3,10.000000
20260613-000525,5,E1,E7,E3,E4,-6.000000
20260613-000525,5,E1,E7,E4,E5,7.500000
20260613-000525,5,E1,E7,E5,E6,-39.000000
20260613-000525,5,E1,E7,E8,E9,-179.500000
20260613-000525,5,E1,E7,E9,E10,-232.500000
20260613-000525,5,E1,E7,E10,E11,228.000000
20260613-000525,5,E1,E7,E11,E12,218.000000
20260613-000525,5,E2,E8,E3,E4,-3.000000
20260613-000525,5,E2,E8,E4,E5,14.000000
20260613-000525,5,E2,E8,E5,E6,-46.000000
20260613-000525,5,E2,E8,E6,E7,278.500000
20260613-000525,5,E2,E8,E9,E10,-270.500000
20260613-000525,5,E2,E8,E10,E11,260.000000
20260613-000525,5,E2,E8,E11,E12,246.000000
20260613-000525,5,E2,E8,E12,E1,16.000000
20260613-000525,5,E3,E9,E1,E2,36.500000
20260613-000525,5,E3,E9,E4,E5,16.000000
20260613-000525,5,E3,E9,E5,E6,-50.000000
20260613-000525,5,E3,E9,E6,E7,307.000000
20260613-000525,5,E3,E9,E7,E8,-14.000000
20260613-000525,5,E3,E9,E10,E11,282.000000
20260613-000525,5,E3,E9,E11,E12,266.000000
20260613-000525,5,E3,E9,E12,E1,18.000000
20260613-000525,5,E4,E10,E1,E2,37.000000
20260613-000525,5,E4,E10,E2,E3,16.500000
20260613-000525,5,E4,E10,E5,E6,-54.000000
20260613-000525,5,E4,E10,E6,E7,306.500000
20260613-000525,5,E4,E10,E7,E8,-10.000000
20260613-000525,5,E4,E10,E8,E9,-247.000000
20260613-000525,5,E4,E10,E11,E12,266.000000
20260613-000525,5,E4,E10,E12,E1,19.500000
20260613-000525,5,E5,E11,E1,E2,38.000000
20260613-000525,5,E5,E11,E2,E3,16.000000
20260613-000525,5,E5,E11,E3,E4,-2.000000
20260613-000525,5,E5,E11,E6,E7,317.000000
20260613-000525,5,E5,E11,E7,E8,-10.000000
20260613-000525,5,E5,E11,E8,E9,-254.000000
20260613-000525,5,E5,E11,E9,E10,-313.500000
20260613-000525,5,E5,E11,E12,E1,20.000000
20260613-000525,5,E6,E12,E1,E2,38.000000
